affiliation,cited by count,first name,first name (orig),h-index,id,last name,last name (orig),subject areas
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60005681', 'affiliation-id': '60005681', 'affiliation-name': 'Tel Aviv University', 'affiliation-city': 'Tel Aviv-Yafo', 'affiliation-country': 'Israel'}",519.0,Ruth,Ruth,11.0,8710,Heller,Heller,"[{'@abbrev': 'MATH', '@frequency': '27', '$': 'Mathematics (all)'}, {'@abbrev': 'BIOC', '@frequency': '11', '$': 'Biochemistry, Genetics and Molecular Biology (all)'}, {'@abbrev': 'COMP', '@frequency': '10', '$': 'Computer Science (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60005681', 'affiliation-id': '60005681', 'affiliation-name': 'Tel Aviv University', 'affiliation-city': 'Tel Aviv-Yafo', 'affiliation-country': 'Israel'}",25.0,Yair,Yair,2.0,8711,Heller,Heller,"[{'@abbrev': 'MATH', '@frequency': '6', '$': 'Mathematics (all)'}, {'@abbrev': 'COMP', '@frequency': '5', '$': 'Computer Science (all)'}, {'@abbrev': 'AGRI', '@frequency': '3', '$': 'Agricultural and Biological Sciences (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/118379776', 'affiliation-id': '118379776', 'affiliation-name': 'Google DeepMind', 'affiliation-city': None, 'affiliation-country': 'United States'}",73.0,Audrunas,Audrunas,3.0,8712,Gruslys,Gruslys,"[{'@abbrev': 'COMP', '@frequency': '5', '$': 'Computer Science (all)'}, {'@abbrev': 'PHYS', '@frequency': '5', '$': 'Physics and Astronomy (all)'}, {'@abbrev': 'MEDI', '@frequency': '2', '$': 'Medicine (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/118379776', 'affiliation-id': '118379776', 'affiliation-name': 'Google DeepMind', 'affiliation-city': None, 'affiliation-country': 'United States'}",96.0,Ivo,Ivo,3.0,8713,Danihelka,Danihelka,"[{'@abbrev': 'COMP', '@frequency': '20', '$': 'Computer Science (all)'}, {'@abbrev': 'MULT', '@frequency': '1', '$': 'Multidisciplinary'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60016529', 'affiliation-id': '60016529', 'affiliation-name': 'Radboud University Nijmegen', 'affiliation-city': 'Nijmegen', 'affiliation-country': 'Netherlands'}",83.0,Umut,Umut,4.0,8714,Güçlü,G??l?,"[{'@abbrev': 'COMP', '@frequency': '12', '$': 'Computer Science (all)'}, {'@abbrev': 'NEUR', '@frequency': '11', '$': 'Neuroscience (all)'}, {'@abbrev': 'MATH', '@frequency': '3', '$': 'Mathematics (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60016529', 'affiliation-id': '60016529', 'affiliation-name': 'Radboud University Nijmegen', 'affiliation-city': 'Nijmegen', 'affiliation-country': 'Netherlands'}",7.0,Jordy,Jordy,2.0,8715,Thielen,Thielen,"[{'@abbrev': 'COMP', '@frequency': '3', '$': 'Computer Science (all)'}, {'@abbrev': 'BIOC', '@frequency': '1', '$': 'Biochemistry, Genetics and Molecular Biology (all)'}, {'@abbrev': 'MEDI', '@frequency': '1', '$': 'Medicine (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60031931', 'affiliation-id': '60031931', 'affiliation-name': 'Paul Drude Institut fur Festkorperelektronik', 'affiliation-city': 'Berlin', 'affiliation-country': 'Germany'}",871.0,Michael,Michael,18.0,8716,Hanke,Hanke,"[{'@abbrev': 'PHYS', '@frequency': '88', '$': 'Physics and Astronomy (all)'}, {'@abbrev': 'MATE', '@frequency': '48', '$': 'Materials Science (all)'}, {'@abbrev': 'MATH', '@frequency': '33', '$': 'Mathematics (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60027550', 'affiliation-id': '60027550', 'affiliation-name': 'University of California, Los Angeles', 'affiliation-city': 'Los Angeles', 'affiliation-country': 'United States'}",4.0,Bryant,Bryant,1.0,8718,Chen,Chen,"{'@abbrev': 'COMP', '@frequency': '6', '$': 'Computer Science (all)'}"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60030162', 'affiliation-id': '60030162', 'affiliation-name': 'Columbia University in the City of New York', 'affiliation-city': 'New York', 'affiliation-country': 'United States'}",4.0,Antoine,Antoine,2.0,8719,Désir,Desir,"[{'@abbrev': 'COMP', '@frequency': '4', '$': 'Computer Science (all)'}, {'@abbrev': 'ENGI', '@frequency': '1', '$': 'Engineering (all)'}, {'@abbrev': 'DECI', '@frequency': '1', '$': 'Decision Sciences (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60030162', 'affiliation-id': '60030162', 'affiliation-name': 'Columbia University in the City of New York', 'affiliation-city': 'New York', 'affiliation-country': 'United States'}",169.0,Vineet,Vineet,8.0,8720,Goyal,Goyal,"[{'@abbrev': 'COMP', '@frequency': '27', '$': 'Computer Science (all)'}, {'@abbrev': 'MATH', '@frequency': '22', '$': 'Mathematics (all)'}, {'@abbrev': 'DECI', '@frequency': '10', '$': 'Decision Sciences (all)'}]"
