,id,topics
379,1346,"[(7, 0.20184530876879114), (17, 0.51582754007632436)]"
380,1347,"[(6, 0.68940400992007345)]"
381,1348,"[(13, 0.7731210782875132)]"
382,1349,"[(1, 0.22936055889074897)]"
383,135,"[(1, 0.34654034865542122), (13, 0.46127550209268769)]"
384,1350,"[(3, 0.39974394369774358), (13, 0.26729692042317094)]"
385,1351,"[(9, 0.7433000885343034)]"
386,1352,"[(3, 0.22828793113473159), (7, 0.43768901484521999)]"
387,1353,"[(13, 0.34923304679314454), (14, 0.47841804390221893)]"
388,1354,"[(5, 0.31127833768553015), (9, 0.27987940355502838), (16, 0.27844764608181338)]"
389,1355,"[(3, 0.61717263199487638)]"
390,1356,"[(1, 0.27496469846026023), (3, 0.2596353687479962)]"
391,1357,"[(6, 0.39373817128982685)]"
392,1358,"[(6, 0.45659326826006197), (13, 0.25514590756341055)]"
393,1359,"[(0, 0.33631400952550494), (6, 0.2071721009813039)]"
394,136,"[(1, 0.26646695742977911), (13, 0.5846881932218625)]"
395,1360,"[(1, 0.25201879831981083), (5, 0.20694384206366373)]"
396,1361,"[(13, 0.62037855244391693)]"
397,1362,[]
398,1363,[]
399,1364,"[(5, 0.37932823996727194)]"
400,1365,"[(9, 0.32768472192887904)]"
401,1366,"[(5, 0.30617194833535133), (13, 0.40585815239005257)]"
402,1367,"[(5, 0.25309865411570598)]"
403,1368,"[(1, 0.21368827649194702), (3, 0.66944307554804439)]"
404,1369,"[(1, 0.58851135672822763)]"
405,137,[]
406,1370,"[(13, 0.73628400760904045)]"
407,1371,"[(5, 0.29183514896834345)]"
408,1372,"[(6, 0.51834079768365038), (19, 0.31577914809793201)]"
409,1373,"[(6, 0.23551538108043332), (13, 0.69016530645604368)]"
410,1374,"[(1, 0.30591718103739518), (3, 0.25921231748264539)]"
411,1375,"[(6, 0.60921087864125922)]"
412,1376,"[(14, 0.31170633208464432), (16, 0.2133966961896353)]"
413,1377,"[(0, 0.27675137524358351), (1, 0.3238448551063266)]"
414,1378,"[(1, 0.78029067233580107)]"
415,1379,"[(15, 0.55261228979324473)]"
416,138,"[(3, 0.50036966001373384)]"
417,1380,"[(17, 0.20580082342973999)]"
418,1381,"[(3, 0.64029833122241153)]"
419,1382,"[(3, 0.3181662717273579)]"
420,1383,[]
421,1384,[]
422,1385,"[(13, 0.79438329483021797)]"
423,1386,"[(3, 0.23541705933913898)]"
424,1387,"[(6, 0.44136199499716311), (14, 0.24533201969052529), (16, 0.22369975630097114)]"
425,1388,[]
426,1389,"[(0, 0.26317196152119238), (6, 0.22728408457173446)]"
427,139,"[(1, 0.54708035439785851)]"
428,1390,"[(13, 0.84194367932986314)]"
429,1391,"[(3, 0.6758592664599371)]"
430,1392,"[(13, 0.28109643119289751), (19, 0.35959870076118705)]"
431,1393,"[(0, 0.48994637230072646), (1, 0.32116838406195219)]"
432,1394,"[(0, 0.52948322366867928), (6, 0.27063570099574785)]"
433,1395,"[(1, 0.22194186091738496), (3, 0.46903994909879881)]"
434,1396,"[(1, 0.20624932011226269), (19, 0.32754554231704042)]"
435,1397,"[(19, 0.67170087198326189)]"
436,1398,"[(14, 0.44841533899815961)]"
437,1399,"[(1, 0.57147474352273075), (9, 0.20044658216094507)]"
438,14,"[(1, 0.47381095602968482), (6, 0.37158912261740112)]"
439,140,"[(1, 0.48981252252730351)]"
440,1400,"[(3, 0.82015651471163586)]"
441,1401,"[(3, 0.85872570397487524)]"
442,1402,"[(6, 0.21697213242785762), (14, 0.33348705257405631)]"
443,1403,"[(3, 0.24458791339775307)]"
444,1404,[]
445,1405,"[(0, 0.43552972882585961), (1, 0.24759511887330676)]"
446,1406,"[(0, 0.26091446652751399), (3, 0.21779933650575187), (13, 0.20467731766172043)]"
447,1407,"[(6, 0.33592596618147164)]"
448,1408,"[(14, 0.7430355331880325)]"
449,1409,[]
450,141,"[(0, 0.51293189029686492), (1, 0.41496569428839591)]"
451,1410,"[(3, 0.59852497224495027)]"
452,1411,"[(3, 0.90231161089385048)]"
