row_id,id,topics
306,1288.0,"[(1, 1), (6, 1)]"
307,1289.0,"[(1, 1), (6, 1)]"
308,129.0,"[(6, 1)]"
309,1290.0,"[(1, 1), (6, 1)]"
310,1291.0,"[(1, 1), (3, 1), (6, 1)]"
311,1292.0,"[(1, 1), (3, 1), (6, 1)]"
312,1293.0,"[(1, 1), (9, 1)]"
313,1294.0,"[(3, 1)]"
314,1295.0,"[(3, 2), (1, 1)]"
315,1296.0,"[(3, 1)]"
316,1297.0,"[(2, 1), (8, 1)]"
317,1298.0,"[(2, 2), (6, 2), (8, 1), (4, 1), (7, 1)]"
318,1299.0,"[(1, 1), (3, 1), (6, 1)]"
319,13.0,"[(1, 3), (2, 1), (0, 1)]"
320,130.0,"[(1, 1)]"
321,1300.0,"[(1, 1), (3, 1), (6, 1)]"
322,1301.0,"[(1, 1)]"
323,1302.0,"[(0, 5), (9, 5), (1, 3), (3, 1), (4, 1), (6, 1)]"
324,1303.0,"[(3, 1)]"
325,1304.0,"[(1, 1), (3, 1)]"
326,1305.0,"[(1, 1), (3, 1)]"
327,1306.0,"[(1, 1), (3, 1)]"
328,1307.0,"[(1, 1), (3, 1)]"
329,1308.0,"[(1, 1), (3, 1)]"
330,1309.0,"[(2, 1)]"
331,131.0,"[(1, 1)]"
332,1310.0,"[(1, 4), (9, 3), (0, 2), (6, 1)]"
333,1311.0,"[(1, 4), (9, 2), (0, 1), (6, 1)]"
334,1312.0,"[(5, 1)]"
335,1313.0,"[(5, 2)]"
336,1314.0,"[(1, 1), (2, 1)]"
337,1315.0,"[(1, 1), (2, 1)]"
338,1316.0,"[(1, 1), (9, 1)]"
339,1317.0,"[(1, 1), (9, 1)]"
340,1318.0,"[(1, 1), (9, 1)]"
341,1319.0,"[(1, 1), (9, 1)]"
342,132.0,"[(1, 1)]"
343,1320.0,"[(8, 2), (1, 1), (7, 1)]"
344,1321.0,"[(8, 3), (1, 1), (0, 1)]"
345,1322.0,"[(5, 2)]"
346,1323.0,"[(7, 5), (3, 3), (5, 2), (0, 2), (4, 2), (9, 1), (2, 1)]"
347,1324.0,"[(1, 1)]"
348,1325.0,"[(3, 1)]"
349,1326.0,"[(1, 1)]"
350,1327.0,"[(1, 1)]"
351,1328.0,"[(0, 1), (3, 1)]"
