row_id,id,topics
414,1378,"[(3, 0.86865808692494717)]"
415,1379,"[(2, 0.28317967109018866), (3, 0.20191831242965994), (4, 0.2303835910055605), (6, 0.26559290352825005)]"
416,138,"[(1, 0.98682172214582531)]"
417,1380,"[(4, 0.8396812912975945)]"
418,1381,"[(1, 0.49007110501964252), (5, 0.5050271374670583)]"
419,1382,"[(1, 0.29979576155771415), (5, 0.69465668830031657)]"
420,1383,"[(5, 0.64512304871405757), (8, 0.35132565951477873)]"
421,1384,"[(5, 0.82584702393965592)]"
422,1385,"[(0, 0.21137580297979491), (1, 0.43217721803155568)]"
423,1386,"[(1, 0.20780475096318629), (5, 0.46765671406624315)]"
424,1387,"[(0, 0.44014821310129537), (4, 0.21624275685987138)]"
425,1388,"[(2, 0.74634091280472936), (5, 0.22011398301788515)]"
426,1389,"[(6, 0.28796054801650145)]"
427,139,"[(1, 0.6199362489729866), (3, 0.21393933516125821)]"
428,1390,"[(1, 0.50610559706130864), (2, 0.34717855177546592)]"
429,1391,"[(1, 0.81641658110274129)]"
430,1392,"[(4, 0.90855367898988904)]"
431,1393,"[(3, 0.97057542712617229)]"
432,1394,"[(7, 0.3945803843446179)]"
433,1395,"[(1, 0.95658159060538483)]"
434,1396,"[(1, 0.62746444912998867), (2, 0.3715017584639182)]"
435,1397,"[(7, 0.34316906962030852), (8, 0.21685795367285243)]"
