,id,topics
303,1277,"[(12, 0.21563953071976449), (17, 0.58709055584177705)]"
304,1278,"[(6, 0.8663100959836072)]"
305,1279,"[(7, 0.28495675381419833), (14, 0.66610059477203165)]"
306,128,"[(17, 0.7472979803923564)]"
307,1280,"[(7, 0.2168142450569798), (14, 0.77252033701831413)]"
308,1281,"[(17, 0.90573073375682045)]"
309,1282,"[(6, 0.28516058815232931), (14, 0.5915052424891718)]"
310,1283,"[(16, 0.27975368802555389), (19, 0.32371158322533561)]"
311,1284,"[(6, 0.37314854569976813), (19, 0.46785815995444585)]"
312,1285,"[(0, 0.22465803269004256)]"
313,1286,"[(17, 0.98285575167383799)]"
314,1287,"[(7, 0.29977178209517036), (17, 0.64784696568317768)]"
315,1288,"[(19, 0.39265378796671191)]"
316,1289,"[(19, 0.75867567083372067)]"
317,129,"[(14, 0.71903730824443057)]"
318,1290,"[(9, 0.48659047048303972), (14, 0.24776140026553728)]"
319,1291,"[(2, 0.25823509886050994), (10, 0.23545459496757143)]"
320,1292,"[(8, 0.40047230318066512), (12, 0.25642286747942755), (17, 0.21949993011374436)]"
321,1293,"[(12, 0.34913749286223278), (14, 0.3162331848165611)]"
322,1294,"[(7, 0.35311876999865405), (18, 0.48954362360242359)]"
323,1295,"[(16, 0.39912716447436081)]"
324,1296,"[(17, 0.40156388403902232), (18, 0.49552622657716933)]"
325,1297,"[(6, 0.73653663346340459), (19, 0.26098157548541406)]"
326,1298,"[(6, 0.55041727965424558), (14, 0.32577631936624163)]"
327,1299,"[(7, 0.32023999104151646), (12, 0.60453826107933706)]"
328,13,"[(14, 0.30266648631572923), (17, 0.55126294073567716)]"
329,130,"[(12, 0.82269701556026997)]"
330,1301,"[(17, 0.72353210834052017)]"
331,1302,"[(6, 0.41248447084860568), (19, 0.30571781421991673)]"
332,1303,"[(13, 0.49869724001753535)]"
333,1304,"[(13, 0.52333546443358325), (17, 0.3922681789189143)]"
334,1305,"[(17, 0.82396656326344919)]"
335,1306,"[(19, 0.42485219668257385)]"
336,1307,"[(13, 0.88459512375407801)]"
337,1308,"[(2, 0.43267160774849694), (12, 0.24785880685794243)]"
338,1309,"[(12, 0.35633983743718972), (19, 0.27730551777927737)]"
339,131,"[(17, 0.98038725111056535)]"
340,1310,"[(17, 0.91556501847520122)]"
341,1311,"[(14, 0.28910568807998316), (16, 0.38110477499866263)]"
342,1312,"[(13, 0.51052262908223733), (17, 0.20881347477347917)]"
343,1313,"[(7, 0.22417156746313485), (10, 0.2832906072105863), (14, 0.22302417481981918), (19, 0.21059514279210473)]"
344,1314,"[(4, 0.57843376014056824)]"
345,1315,"[(10, 0.58316604382866621), (13, 0.21919690986299631)]"
346,1316,"[(12, 0.23155238377692816)]"
347,1317,"[(6, 0.28882558170924466), (7, 0.24273766110530884), (19, 0.44474674260675151)]"
348,1318,"[(6, 0.20787260301218513), (12, 0.37544623015840656), (15, 0.41447260923575074)]"
349,1319,"[(13, 0.297667504993891), (17, 0.65856315548404509)]"
350,132,"[(17, 0.73836532765649199)]"
351,1320,"[(17, 0.24567909557078874), (18, 0.51905820365287547)]"
352,1321,"[(10, 0.28517680565693448), (13, 0.47443037244638536)]"
353,1322,"[(13, 0.28467227671786965), (17, 0.50203720542751773)]"
354,1323,"[(2, 0.48070498074776125), (14, 0.22693036844372552), (16, 0.2448769508382041)]"
355,1324,"[(2, 0.2548396501881936), (13, 0.26099608421029041)]"
356,1325,"[(1, 0.56009237173641202), (14, 0.35529076130228138)]"
357,1326,"[(11, 0.31850973653915776), (13, 0.20217618764653336)]"
358,1327,"[(8, 0.26288964518634833)]"
359,1328,"[(6, 0.50969628788623667)]"
360,1329,"[(18, 0.35944188904092172)]"
361,133,"[(14, 0.67128570580333669)]"
362,1330,"[(17, 0.82094803953944662)]"
363,1331,"[(2, 0.53755678510110516)]"
364,1332,"[(16, 0.69624188814396082)]"
365,1333,"[(10, 0.36040899969538992), (13, 0.28008780583835285)]"
366,1334,"[(1, 0.28224550221722233), (9, 0.23213996394132419)]"
367,1335,"[(1, 0.31599224045119895), (14, 0.51945667504769999)]"
368,1336,"[(1, 0.28491955338050218), (13, 0.2550913552693298), (17, 0.27026837556602207)]"
369,1337,"[(17, 0.97780939958158475)]"
370,1338,"[(4, 0.20484636067025569), (13, 0.38697174256258648), (17, 0.40705018323192915)]"
371,1339,"[(7, 0.23024768041074203)]"
372,134,"[(10, 0.55062572956625921), (14, 0.3978704807410573)]"
373,1340,"[(1, 0.46664442012921037), (3, 0.34811747757310252)]"
374,1341,"[(3, 0.20245167803428402), (15, 0.20132369630999478)]"
375,1342,"[(10, 0.24095850198626839), (19, 0.43078259672909974)]"
376,1343,"[(0, 0.51415762994286707), (7, 0.25866301059029451)]"
377,1344,"[(13, 0.74564912660802962)]"
378,1345,"[(12, 0.35353366157701321), (17, 0.46928427273413115)]"
379,1346,"[(5, 0.26616558268675611), (8, 0.4701064122209534)]"
380,1347,"[(1, 0.5667093028403597), (14, 0.23817345413347019)]"
381,1348,"[(7, 0.55968537108066341), (19, 0.25646893960307532)]"
382,1349,"[(6, 0.24655870287744683), (8, 0.25591542989525717), (14, 0.41217835409619535)]"
383,135,"[(12, 0.24781468748585678), (14, 0.64330422161867973)]"
384,1350,"[(7, 0.55286234899679931), (14, 0.25239749779629633)]"
385,1351,"[(7, 0.32348525298294578), (9, 0.23965704586775066), (18, 0.38949741784383823)]"
386,1352,"[(17, 0.40909716329012769), (18, 0.41290249665914386)]"
387,1353,"[(3, 0.37387068843317517), (7, 0.25119982482793451)]"
388,1354,"[(9, 0.23495325677838461), (19, 0.21906543945441484)]"
389,1355,"[(8, 0.41179243761399154), (17, 0.54986208753796195)]"
390,1356,"[(12, 0.23533549974610268), (17, 0.41481510412040756)]"
391,1357,"[(1, 0.20736499640130993), (4, 0.32805171014088835), (14, 0.20611014715943671)]"
392,1358,"[(14, 0.6641068656641248)]"
393,1359,"[(1, 0.20417414312190593), (12, 0.29893786600590461)]"
394,136,"[(12, 0.76648340168133289), (14, 0.22957684621800264)]"
395,1360,"[(17, 0.93205616530977842)]"
396,1361,"[(6, 0.26291660590329924), (14, 0.51292248611555769)]"
397,1362,"[(6, 0.43279654459089051), (7, 0.23587815204371412)]"
398,1363,"[(5, 0.30196840382715834), (12, 0.28552081891996239)]"
399,1364,"[(17, 0.72710921946432072)]"
400,1365,"[(7, 0.26631987232163751), (17, 0.45768875721860591), (18, 0.20097395624970052)]"
401,1366,"[(3, 0.22879542264481434), (13, 0.30881522676859358)]"
402,1367,"[(17, 0.98206517395090542)]"
403,1368,"[(17, 0.53084983362718274)]"
404,1369,"[(13, 0.64824026641539112)]"
405,137,"[(17, 0.93099497310803148)]"
406,1370,"[(5, 0.70687291383844553), (14, 0.28400351368125865)]"
407,1371,"[(17, 0.9066862009763017)]"
408,1372,"[(4, 0.83600760929788109)]"
409,1373,"[(12, 0.35718005501968847), (14, 0.25446372513601639)]"
410,1374,"[(17, 0.59142125219681185), (18, 0.34998759960801012)]"
411,1375,"[(5, 0.34029588119590992), (11, 0.22676086704093729), (16, 0.20431131026895413)]"
412,1376,"[(3, 0.27257050548592038), (11, 0.50683192468101423)]"
413,1377,"[(12, 0.45621124266932317), (13, 0.25000154735388325)]"
414,1378,"[(18, 0.55527299787129292)]"
415,1379,"[(14, 0.56523661758364774)]"
416,138,"[(17, 0.89016714861311041)]"
417,1380,"[(3, 0.53792589070764274)]"
418,1381,"[(7, 0.26872728334566331), (17, 0.44881788100457171)]"
419,1382,"[(6, 0.26512669494080238), (12, 0.33398358785592164)]"
420,1383,"[(6, 0.9067785609886887)]"
421,1384,"[(6, 0.52184763183179461), (16, 0.25607295333270852)]"
422,1385,"[(14, 0.32624941058127532)]"
423,1386,"[(7, 0.35116482624887968)]"
424,1387,"[(12, 0.42867077131405495), (19, 0.383912374023964)]"
425,1388,"[(1, 0.50213089205823558), (6, 0.29397290220590988)]"
426,1389,"[(12, 0.51996736710131086)]"
427,139,"[(13, 0.61005247271734819)]"
428,1390,"[(13, 0.39420484209289519)]"
429,1391,"[(17, 0.94612393662636862)]"
430,1392,"[(6, 0.22996851132901794), (19, 0.27954370472823059)]"
431,1393,"[(8, 0.55521842706857205), (14, 0.40907298684381099)]"
432,1394,"[(14, 0.31296481060407155)]"
433,1395,"[(14, 0.21634570314400378), (17, 0.67862224036808094)]"
434,1396,"[(13, 0.71142463747982998)]"
435,1397,"[(1, 0.33481958014317398), (16, 0.25360138956201905)]"
436,1398,"[(10, 0.56727483490182196), (19, 0.28510715818951315)]"
